comment,processed_comment,season
10/10.瑞秋和罗斯的分手让第三季的活力和热度更高。27岁的钱德勒太瘦了，在我重看第三季的时候，新闻公布了马修派瑞的验尸报告，没有毒品和酒精，54岁的他是死于治疗抑郁焦虑药物的副作用而意外溺水离世的。而我正在看着他在剧中鲜活地卖力地逗笑观众，我想，视频一旦出现在网络上，就永远不会消失，欢笑，悲伤，此时，彼时，就像时间隧道的两端，回到未来，永恒存在。,1010瑞秋罗斯分手第三季活力热度更高.27岁钱德勒太瘦重看第三季新闻公布马修派瑞验尸毒品酒精54岁死治疗抑郁焦虑药物副作用意外溺水离世.看着剧中鲜活卖力逗笑观众想视频网络永远消失欢笑悲伤时间隧道两端回到未来永恒,3
满分的一季，超多经典,满分一季超多经典,3
真的可以开怀,真的开怀,3
前半季故事性较弱而更着重于场景。,前半季故事性较弱着重于场景,3
RR分手了，没想到再和好就要等到大结局了。,RR分手没想到大结局,3
姑娘最喜欢rachel，小伙子最喜欢chandler,姑娘喜欢rachel小伙子喜欢chandler,3
上班以后为了重拾英语，多遍之字幕第一遍。2014.8wanjir,上班重拾英语多遍字幕第一遍.2014.8wanjir,3
隔了好久才看完这一季，Ross和瑞秋是最配的,隔好久完一季Ross瑞秋是最配,3
第三季开始越来越无聊了……,第三季越来越无聊,3
Chandler好瘦，好喜欢她和Pheebs,Chandler好瘦喜欢Pheebs,3
不喜欢ross和rachel分手。。。超级不喜欢。j&c越来越可爱了！,喜欢rossrachel分手.超级喜欢.jc越来越可爱,3
打橄榄球那集好经典！~,橄榄球那集经典,3
不晓得为何大家都不喜欢Ross 我觉得他那种纠结吃醋的劲儿反而显得认真可爱 Joey和Chandler不在一起真是天理难容 菲比还是好神经好好玩 这季的句点真是太令人深有体会了。。。,晓得喜欢Ross那种纠结吃醋劲儿显得可爱JoeyChandler天理难容菲比神经好玩这季句点真是太令人深有体会,3
第三季~再次拆开RR组，以重新获得人物冲突，寻找剧情突破的一季,第三季拆开RR组人物冲突寻找剧情突破一季,3
他们分手时是我第一次看老友记哭的稀里哗啦的！,分手时第一次老友记哭稀里哗啦,3
看了下某站的，删了好多，果断放弃，还是得找资源看。,站删好多果断放弃找资源,3
这一季爱上了乾德,一季爱上乾德,3
Ross在恋爱关系中的表现真是太差了！,Ross恋爱关系表现真是太,3
我爱瑞秋。有人喜欢钱德勒的笑容么？,有人喜欢钱德勒笑容,3
感情戏真烦人。,感情戏真烦人,3
挺好看的,挺好看,3
感谢有你带给我的欢乐,感谢带给欢乐,3
那件T恤真的让我感慨良多。是不是分手后的人总是那么不留情面却又渴望藕断丝连。,件T恤真的感慨良多.分手不留情面渴望藕断丝连,3
以前误会了，真是很好看呀，每集都超有笑点的！！！,误会好看每集超有笑,3
钱钱的颜值巅峰,钱钱颜值巅峰,3
渴望的友情乌托邦,渴望友情乌托邦,3
我爱Ross，每次看到他跟Rachel吵架，我就揪心。还有，终于体会到什么叫做又哭又笑了。,爱Ross每次Rachel吵架揪心.终于体会又哭又笑,3
爱上chan chan,爱上chanchan,3
非要说的话更喜欢第二季，第三季过多纠缠于罗斯和瑞秋的感情风波……还有我实在不能不腐钱勒德和乔伊><,要说喜欢第二季第三季过多纠缠罗斯瑞秋感情风波.实在腐钱勒德乔伊,3
关系更加曲折~承前启后,关系曲折承前启后,3
忽然想狠标一记陪伴从小到大的剧，这是多少年的修炼与爱才成就这样一部，长长十季却让人始终痴心守候。【插一句我真的蛮喜欢Richard,想狠标一记陪伴从小到大剧修炼爱成就一部长长十季始终痴心守候.插一句真的喜欢Richard,3
小钱怎么越来越瘦了。。。。,小钱越来越瘦,3
Joey一如即往是我最爱。Monica毁了很多段很美好的爱情了，真不知道是自己的问题吗。Phoebe老妈一出来鬼畜一下我就猜到是亲妈了。Bing太瘦了比bin还瘦，注意身体啊。还是很喜欢Ross和Rachel这对的，但是看大家的不友善评价，猜想可能不能走到最后，希望不被剧透，保持一点甜度也好的。,Joey一如即往爱.Monica毁段美好爱情真不知道.Phoebe老妈鬼畜猜亲妈.Bing太瘦bin瘦身体.喜欢RossRachel友善评价猜想走希望剧透一点甜度,3
经典无需多说。,经典无需多说,3
这个是一定可以重复看的片子.,重复片子,3
这季太虐心了，我们都再也回不去了。,这季虐心再也回不去,3
菲比的弟弟登场了。Rachel换工作，和Ross第一次分手，Ross是个烂人，不配得Rach这么好的女孩！Monica的富翁男友，恋情来得太突然无法理喻。Joey还是最可爱的，当你遇到一个异性你可以通宵聊天说不完的话，珍惜吧。Btw，Chan在这一季里很瘦很娘。,菲比弟弟登场.Rachel换工作Ross第一次分手Ross烂不配Rach女孩.Monica富翁男友恋情来得理喻.Joey可爱异性通宵聊天说不完珍惜.BtwChan一季里很瘦很娘,3
"2012.8.17这季很出彩啊~~
2022.8.27Rachel跟讲Ross分手的时候，演的真的太好了，那种与人告别同时又自我成长与过去的自己开始告别的感觉，痛苦且深刻。女孩子说分手可能是气话，但大直男真的觉得是分手了，Ross已经比很多男生都不渣了依然妙睡new girl。所以人真是必须要靠经历才能成长的吗？",2012.817这季出彩2022.827RachelRoss分手演真的太好了那种告别自我成长告别感觉痛苦深刻.女孩子分手气话但大直男真的分手Ross男生渣依然妙睡girl.经历成长,3
很难想象90年的剧在妆造、价值观、精神状态上放到当下毫不过时，这何尝不是一种科幻片（厌烦弹幕里的道德警察，他们只适合看样板戏,很难想象90剧在妆造价值观精神状态放到过时科幻片厌烦弹幕里道德警察适合样板戏,3
钱得笑起来好阳光帅气啊！！！,钱笑阳光帅气,3
一口气看完了这一季，实在是太讨厌罗斯处理事情的方式和态度了，自己做错事了没有道歉和愧疚的意识，而是去指责别人的不是，并且除了前妻以外，每段关系都处理得很糟糕，几乎都是三人行，重点是还认为自己很深情……罗斯和瑞秋这一对太狗血了，瑞秋找到自己想做的事情以后，越发独立、自信和有气质，而这一点是罗斯没法接受的，也是他们矛盾爆发的根源，罗斯需要的是一个“只是服务员的瑞秋”，而非真心希望她变得更强大、更好，因为这样他就不再是被关注的对象了，男性自尊受损。这也是普遍两性关系的矛盾所在，从这个角度出发，编剧写得蛮好的。莫妮卡和理查德的感情挺让人唏嘘的，年龄差让他们相处舒适，却又导致他们需求不同，最终的最终还是分开，但他们的相爱和短暂的复合，都是美好的情感，遗憾但不后悔就够了。p.s.钱德勒是一季比一季可爱。,一口气完一季实在讨厌罗斯事情方式态度做错事道歉愧疚意识指责前妻段关系糟糕三人行重点深情.罗斯瑞秋一对狗血瑞秋找到想事情越发独立自信气质一点罗斯没法接受矛盾爆发根源罗斯服务员瑞秋真心希望变得强大更好关注对象男性自尊受损.两性关系矛盾角度出发编剧写.莫妮卡理查德感情挺唏嘘年龄相处舒适导致需求最终最终分开相爱短暂复合美好情感遗憾后悔就够.ps钱德勒一季一季可爱,3
最爱Monica和Richard复合那集??,最爱MonicaRichard复合那集,3
越看越喜欢，越看越开心啊~~,越越喜欢越越开心,3
欢乐继续，但且容我看完这一季休息一下会儿。,欢乐但且容完一季休息会儿,3
这一季的重点就是瑞秋和罗斯的分分合合，其他人的笑点也不错，莫妮卡的爱情怎么都是老男人。,一季重点瑞秋罗斯分分合合其他人笑不错莫妮卡爱情男人,3
Mon和Chandler要在一起啦！！！,MonChandler,4
